'''بازی 0 0
فکری''' 0 1
جمله 0 2 14
جمله 1 669
جمله 7 617 2196
جمله 9 342 1542
جمله 13 3252 6260 7653 7719 8311
جمله 14 61
جمله 20 772
جمله 26 1363 2369
جمله 37 355 1582 2186 2554 2590 4853 7322 7512 7670 8820 8836 11436
جمله 40 2989 7663
جمله 41 257 569
جمله 44 831 2277 2312
جمله 45 4484
جمله 52 344
جمله 53 3392 5852 6058 7391
جمله 54 1264 2232 3505 3702 4270 4397 4877 5517 5555
جمله 56 1162 1467
جمله 57 1870 1904
جمله 63 1175 1615
جمله 66 1471 1622 2457 3165 3515
جمله 72 2323 3411 3666 4517 4705 5274 5305 5825
جمله 73 647 732 1166
بازی 0 3 15 45 60
بازی 40 8898 8909 8911 8916 8922 8928 8933 8938 8943 8948 8954 9172 9188
نا 0 4
نا 1 360 374 426 464 473 572
نا 2 239 286 300 379 401 726 760 994 1240 1266
نا 4 45
نا 5 116
نا 6 52
نا 7 12 15 63 111 898 1115 1867 2257
نا 9 12 15 20 76 249 340 970
نا 10 80 205 229 318 642
نا 12 157 258
نا 13 12 2373 2556 2590 2652 2657 2684 2882 2895 2920 3152 3226 3397 3588 4177 4323 4353 4360 4390 4713 4891 6225 6823 8553
نا 14 40 47
نا 15 5
نا 16 15 20
نا 17 701 709
نا 18 152
نا 20 380 420 646 751 988
نا 21 185
نا 23 20
نا 24 11
نا 26 213 238 635 973 1853 1950 2487
نا 27 163
نا 28 260
نا 29 241
نا 30 583
نا 31 276 433
نا 32 63 79
نا 37 72 516 1374 4101 4461 4642 5497 5510 5635 5739 7531 7998 11364 11382
نا 40 16 22 25 149 828 830 835 8569 10262
نا 41 44
نا 43 24 154 333 337 354 535 555 648
نا 44 893 954 974 977
نا 45 4 8 1052 2084 2105 2142 2643 3443 3749
نا 46 22 40 51 57
نا 48 29 34 35 40
نا 50 12 16
نا 53 7 294 314 878 898 1072 1087 1135 2772 3493 3501 3507 6287 6941 7009 8368 8978 8981 9007 9010 9033 9036
نا 54 906 1002 1211 2648 3362 4333 4665 5579 6082 6212 6244 6277 6458 6462 7238 7241 7278 7281
نا 56 233 263 579 1763 2320 2357 2529 2532
نا 57 118 155 566 612 628 635 836 903 945 956 1258 1262 1276 1410 1418 1766 1872 1875
نا 60 690 895 1021
نا 63 700 1165 1289 1299 1324 1466 2097 2702 2709
نا 64 207
نا 65 225 1206 1391 1836
نا 66 286 397 401 404 412 444 505 1171 2434 4626
نا 67 167 180
نا 68 196
نا 69 429 616 1287 2175 2612 2622 2706 2709 2731 2734
نا 70 161 168 195 197
نا 71 158
